19,seabass,fish,75481,52768568,-6.549790020445599,0.6316499069542173
20,clownfish,fish,78159,52768568,-6.5149257760163355,0.633610618311284
12,great dane,dog,414524,77282721,-5.228094803909093,0.7121565663520736
9,doberman,dog,452858,77282721,-5.139647067335183,0.7170262370731909
15,swordfish,fish,487921,52768568,-4.683517481898432,0.7366061973202815
21,peony,flower,416831,33373457,-4.38283529855107,0.7469972508728815
26,dandelion,flower,537157,33373457,-4.129225745654833,0.7616370695557464
13,poodle,dog,1159696,77282721,-4.199312497105064,0.7687982767214587
17,goldfish,fish,944054,52768568,-4.023487621501568,0.7737252591117677
11,beagle,dog,1305453,77282721,-4.080920291934752,0.775316601298873
28,sequoia,tree,1137652,59627239,-3.9591460105767675,0.7788634178798144
10,chihuahua,dog,1399606,77282721,-4.011279630470415,0.7791508101013642
14,pug,dog,1577397,77282721,-3.891694378795629,0.7857348202899295
29,bonsai,tree,1873400,59627239,-3.4603575380732607,0.8067230567301394
27,redwood,tree,2513646,59627239,-3.1663782110688095,0.823143159301271
5,hummingbird,bird,1601201,29443460,-2.911717841461124,0.8306942187482453
30,birch,tree,2936180,59627239,-3.01100308309123,0.8318215774893496
18,tuna,fish,2844261,52768568,-2.9206124305366234,0.8357492595670045
1,sparrow,bird,1853517,29443460,-2.7653868987251573,0.8392028297916788
24,sunflower,flower,2141103,33373457,-2.7464397666309797,0.8414595201650873
22,tulip,flower,2406691,33373457,-2.629508108453099,0.8482094956863615
8,canary,bird,2632425,29443460,-2.4145663395371564,0.8596017668063645
2,dove,bird,3254883,29443460,-2.2023154838147656,0.8719433805567547
0,goose,bird,3739646,29443460,-2.06348085958861,0.8800161079978202
23,daisy,flower,5125361,33373457,-1.8735599218737837,0.8918472224942693
4,crow,bird,4603692,29443460,-1.8556132238562308,0.8921028534796437
6,swan,bird,4767599,29443460,-1.8206289902515567,0.8941370591700416
16,salmon,fish,9757346,52768568,-1.6878952732018582,0.9050753720356454
7,duck,bird,8287612,29443460,-1.2677099443793396,0.9262872866740208
3,eagle,bird,16790604,29443460,-0.5616523698924782,0.967341961531263
25,rose,flower,38921703,33373457,0.15379112934201836,1.0088777186146507
,np,basic,np_freqs,basic_freqs,log(freq),log(sub)/log(basic)
